CAS	SMILES	InChi	InChiKey	EA, eV	BG, eV
169122-26-3	n12ncc(C(=O)[O-])c1c(=O)n1ncc(C(=O)[O-])c1c2=O		VLSDXMORBHKJST-UHFFFAOYSA-L	3,48	2,64
N/A	C12=C3C(=NO[N+]3=O)C4=NO[N+](=C4C1=NON2[O-])[O-] 	InChI=1S/C6N6O6/c13-10-4-1(7-16-10)2-5(11(14)17-8-2)6-3(4)9-18-12(6)15 	GTCUMJIKFSPSKS-UHFFFAOYSA-N 	2,21	3,89
2564-83-2	CC1(C)CCCC(C)(C)N1[O]	InChI=1S/C9H18NO/c1-8(2)6-5-7-9(3,4)10(8)11/h5-7H2,1-4H3	QYTDEUPAUMOIOP-UHFFFAOYSA-N	0,21	3,81
2892-51-5	OC1=C(O)C(=O)C1=O	InChI=1S/C4H2O4/c5-1-2(6)4(8)3(1)7/h5-6H	PWEBUXCTKOWPCW-UHFFFAOYSA-N	0,41	5,17
62399-57-9	C1=CC=[N+](C=C1)/C(=[N+](\[O-])/[O-])/[N+](=O)[O-]	InChI=1S/C6H5N3O4/c10-8(11)6(9(12)13)7-4-2-1-3-5-7/h1-5H	SOABSTPGCLRIMV-UHFFFAOYSA-N	1,93	3,92
55864-37-4	N#CNc1[nH]c2ccccc2n1	InChI=1S/C8H6N4/c9-5-10-8-11-6-3-1-2-4-7(6)12-8/h1-4H,(H2,10,11,12)	NYLIXUBOFQIMGV-UHFFFAOYSA-N	-0,07	5,33
288-32-4	[nH]1ccnc1	InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)	RAXXELZNTBOGNW-UHFFFAOYSA-N	-1,03	6,37
5794-62-7	C1=CC(=O)C(=CC1=O)C(=O)O	InChI=1S/C7H4O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3H,(H,10,11)	DFAUCRRGILHLPG-UHFFFAOYSA-N	2,56	3,68
81566-86-1	C1=C(C(=O)C=C(C1=O)C(=O)O)C(=O)O	InChI=1S/C8H4O6/c9-5-1-3(7(11)12)6(10)2-4(5)8(13)14/h1-2H,(H,11,12)(H,13,14)	YXUXCIBWQAOXRL-UHFFFAOYSA-N	2,80	3,57
89-05-4	OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O	InChI=1S/C10H6O8/c11-7(12)3-1-4(8(13)14)6(10(17)18)2-5(3)9(15)16/h1-2H,(H,11,12)(H,13,14)(H,15,16)(H,17,18)	CYIDZMCFTVVTJO-UHFFFAOYSA-N	1,76	5,02
