fold,mse_all,r2_all,mse_top20_dissimilar,r2_top20_dissimilar,mean_max_sim_val_to_train,max_max_sim_val_to_train,mean_max_sim_top20,max_max_sim_top20,model,repeat,fold_within_repeat
1,0.5681041435130756,0.7601826917973784,0.7617190822611037,0.6628415594859098,0.4688907807024412,0.8235294117647058,0.3422954334599474,0.4166666666666667,LinReg,1,1
2,0.4717866047014494,0.7339079200425911,0.5156069573740221,0.5937361460369349,0.4732239800648145,0.7666666666666667,0.3491228426168173,0.4411764705882353,LinReg,1,2
3,0.37035995987730724,0.8882065041938145,0.37994569489185703,0.8872833866136476,0.43535333561544376,0.6,0.32374281405620225,0.4,LinReg,1,3
4,0.5158884754760922,0.8264177286161141,0.6337375375674755,0.7991718988346607,0.47553495083290187,0.8,0.3576307216885807,0.43333333333333335,LinReg,1,4
5,0.45778128209707614,0.7842446819976984,0.5196233196912009,0.6426213775698228,0.4668897044384593,0.8461538461538461,0.32394086079343454,0.40625,LinReg,1,5
6,0.74940619527169,0.5207870133091679,0.8658686382166384,0.20405474089671738,0.4644997340973847,0.7931034482758621,0.3428336979636409,0.4230769230769231,LinReg,1,6
7,0.488352172904105,0.8472888743504691,0.48617282481395097,0.8470032833358514,0.5137270422177861,0.9230769230769231,0.3593209304384811,0.47619047619047616,LinReg,1,7
8,0.4806636575568045,0.8509394913361463,0.37997996323523064,0.6246177601037681,0.4736167418473614,0.8235294117647058,0.32880831841100194,0.40625,LinReg,1,8
9,0.5202375997223849,0.7328494394826204,0.4542692995206654,0.7777897580315607,0.5143126615198711,0.8,0.3904230503869156,0.4583333333333333,LinReg,1,9
10,0.4051715740744966,0.8038040013422484,0.5202797034490314,0.6560875832981412,0.48841943330539506,0.9230769230769231,0.3497816134438476,0.43902439024390244,LinReg,1,10
11,0.5647289731633613,0.7684537160799358,0.7109590843868139,0.7165424667738594,0.4881866721142499,0.9230769230769231,0.3510391424416497,0.4444444444444444,LinReg,2,1
12,0.5133575555074598,0.5885387472095909,0.6097623005801529,0.3042606552856406,0.4470364830775006,0.8235294117647058,0.32698727974465736,0.41304347826086957,LinReg,2,2
13,0.5533867345612218,0.7298783719569895,0.5426533012099591,0.7192811448159615,0.49308022338372887,0.8235294117647058,0.3633290853908135,0.45161290322580644,LinReg,2,3
14,0.6273078967612976,0.6644723163383993,0.8561388001772481,0.39143474196574646,0.49404330712574596,0.8125,0.34332106787885724,0.42857142857142855,LinReg,2,4
15,0.42806872508307453,0.828406461289331,0.45662374026466596,0.8275623027807522,0.46141816607480984,0.7931034482758621,0.34010717848784777,0.42857142857142855,LinReg,2,5
16,0.32855557431313526,0.8996189181650354,0.3143628482581375,0.9087801754309331,0.5029770250511094,0.8461538461538461,0.3826855548727067,0.4642857142857143,LinReg,2,6
17,0.47267111234708337,0.8633053630243817,0.5140965519449746,0.784520487555214,0.4475522740533089,0.8,0.31971806304659034,0.3793103448275862,LinReg,2,7
18,0.5089855641391872,0.7651359376311416,0.6345319143151332,0.4797479305253872,0.4768883904638134,0.76,0.3465122924159819,0.4,LinReg,2,8
19,0.5308652557065522,0.7883249941730487,0.6663847282828325,0.7606622992010459,0.45974365893367297,0.8461538461538461,0.34084885366611617,0.41935483870967744,LinReg,2,9
20,0.4795889983603426,0.8459007793724619,0.5451043386652,0.7602201393813098,0.5052633850266939,0.9230769230769231,0.3494675785620373,0.45454545454545453,LinReg,2,10
21,0.47405394876534446,0.8160308540019076,0.5179780749984201,0.7341653272903359,0.48686275334193163,0.8461538461538461,0.35847646595920873,0.42857142857142855,LinReg,3,1
22,0.6467661745789943,0.6651035660854335,0.4246845227668556,0.7860346651097345,0.4680971298196471,0.8125,0.3132088981536655,0.4117647058823529,LinReg,3,2
23,0.5417926209082725,0.7433673394378999,0.7547959259883408,-0.5228145169306102,0.45819927110467523,0.9230769230769231,0.3265294807829814,0.4,LinReg,3,3
24,0.7708356293453975,0.589985131899111,0.9198277859501733,0.5297947162089853,0.459406996055886,0.8461538461538461,0.3173114752922106,0.4117647058823529,LinReg,3,4
25,0.39679087589326495,0.8726278781680045,0.4843212038422836,0.8097388867014753,0.4488919248822088,0.7586206896551724,0.3267607475574765,0.41379310344827586,LinReg,3,5
26,0.4209872015439989,0.864616579787303,0.5083957953039302,0.8354599321747296,0.4893871114689819,0.8235294117647058,0.36629811740034457,0.43333333333333335,LinReg,3,6
27,0.3569142194133618,0.884387708173588,0.3661566117492486,0.7958073249358579,0.4648058696423376,0.7931034482758621,0.34249324953609267,0.42857142857142855,LinReg,3,7
28,0.47050010388507063,0.8250774023144112,0.500945630243603,0.8359128462763172,0.49692359450913165,0.8235294117647058,0.35431942765937835,0.4666666666666667,LinReg,3,8
29,0.4689938562994828,0.8265250255008199,0.4464440211635929,0.861271243077105,0.4897998739992701,0.8,0.35944172486845205,0.4482758620689655,LinReg,3,9
30,0.3799410948587669,0.8002601569275354,0.46879384225200077,0.6291308960879725,0.4843458474748507,0.9230769230769231,0.37462474960838643,0.4444444444444444,LinReg,3,10
1,0.6462596464365115,0.6896593341180919,0.8556130842851809,0.5745983206461736,0.4688907807024412,0.8235294117647058,0.3422954334599474,0.4166666666666667,DesTree,1,1
2,0.6268466596336599,0.5302536997506878,0.6275199200025445,0.3982367252005339,0.4732239800648145,0.7666666666666667,0.3491228426168173,0.4411764705882353,DesTree,1,2
3,0.5896648942407883,0.7166135859868279,0.4978127157877749,0.8065018365606452,0.43535333561544376,0.6,0.32374281405620225,0.4,DesTree,1,3
4,0.8053968354171749,0.5769287124192539,1.025020731497661,0.4746231690998659,0.47553495083290187,0.8,0.3576307216885807,0.43333333333333335,DesTree,1,4
5,0.6649780698138348,0.5447393722240483,0.732981923378742,0.2888882859231281,0.4668897044384593,0.8461538461538461,0.32394086079343454,0.40625,DesTree,1,5
6,0.7425452427293572,0.5295214142455235,0.6999482123700296,0.47987108448860183,0.4644997340973847,0.7931034482758621,0.3428336979636409,0.4230769230769231,DesTree,1,6
7,0.6894321334741126,0.6956400722495532,0.8570064177122595,0.5245893574713121,0.5137270422177861,0.9230769230769231,0.3593209304384811,0.47619047619047616,DesTree,1,7
8,0.6599550174064897,0.7189984631081551,0.4964637448998667,0.3591927650701706,0.4736167418473614,0.8235294117647058,0.32880831841100194,0.40625,DesTree,1,8
9,0.5529923334308834,0.6981502392363766,0.5433875228600672,0.6820516161371162,0.5143126615198711,0.8,0.3904230503869156,0.4583333333333333,DesTree,1,9
10,0.590239622949866,0.5836400674579924,0.722289761799238,0.33717786118599125,0.48841943330539506,0.9230769230769231,0.3497816134438476,0.43902439024390244,DesTree,1,10
11,0.7828796268929736,0.5550126561754329,0.9978602106507704,0.44160927117315063,0.4881866721142499,0.9230769230769231,0.3510391424416497,0.4444444444444444,DesTree,2,1
12,0.6559935601973605,0.3281254673849514,0.5636676769161063,0.40547285791807774,0.4470364830775006,0.8235294117647058,0.32698727974465736,0.41304347826086957,DesTree,2,2
13,0.5457721021635312,0.7372610047599875,0.4059402665417659,0.8429091280008789,0.49308022338372887,0.8235294117647058,0.3633290853908135,0.45161290322580644,DesTree,2,3
14,0.7958770712239422,0.4599190789213661,0.9250716188490489,0.28949111985845577,0.49404330712574596,0.8125,0.34332106787885724,0.42857142857142855,DesTree,2,4
15,0.5499507553711818,0.7167815523878889,0.5526617410315283,0.7473995952984823,0.46141816607480984,0.7931034482758621,0.34010717848784777,0.42857142857142855,DesTree,2,5
16,0.5595827128316242,0.7088191758679177,0.48445717044956615,0.783360532638705,0.5029770250511094,0.8461538461538461,0.3826855548727067,0.4642857142857143,DesTree,2,6
17,0.8168368232599051,0.5917708906069858,0.7809593459329366,0.5027515302641831,0.4475522740533089,0.8,0.31971806304659034,0.3793103448275862,DesTree,2,7
18,0.5681695756256812,0.7073412002405111,0.6824697795507138,0.3981701472933552,0.4768883904638134,0.76,0.3465122924159819,0.4,DesTree,2,8
19,0.7036167724692185,0.6281452422988616,0.9451845057976775,0.5185022846751601,0.45974365893367297,0.8461538461538461,0.34084885366611617,0.41935483870967744,DesTree,2,9
20,0.5008757954822732,0.8319176510491473,0.49353318024222037,0.8034440761780798,0.5052633850266939,0.9230769230769231,0.3494675785620373,0.45454545454545453,DesTree,2,10
21,0.6677448339487968,0.6349851537885167,0.7968084776155435,0.3709332035376749,0.48686275334193163,0.8461538461538461,0.35847646595920873,0.42857142857142855,DesTree,3,1
22,0.722729378883992,0.5818160656571207,0.5707670277792858,0.6135188616794356,0.4680971298196471,0.8125,0.3132088981536655,0.4117647058823529,DesTree,3,2
23,0.6194730623683324,0.664501481478446,0.7204139435074809,-0.38724169453198276,0.45819927110467523,0.9230769230769231,0.3265294807829814,0.4,DesTree,3,3
24,0.817729644095977,0.5385809413046696,1.0136869585823822,0.42893943006272683,0.459406996055886,0.8461538461538461,0.3173114752922106,0.4117647058823529,DesTree,3,4
25,0.47384343845479876,0.8183561193618976,0.5366842647218195,0.7663742052075282,0.4488919248822088,0.7586206896551724,0.3267607475574765,0.41379310344827586,DesTree,3,5
26,0.5161304340958784,0.7965083317120681,0.6030961780678104,0.768452058483322,0.4893871114689819,0.8235294117647058,0.36629811740034457,0.43333333333333335,DesTree,3,6
27,0.6271334420732694,0.6430591693798661,0.5678446090260961,0.508905114158172,0.4648058696423376,0.7931034482758621,0.34249324953609267,0.42857142857142855,DesTree,3,7
28,0.7254003923121813,0.5842023378651209,0.9141621847352909,0.4535632481532993,0.49692359450913165,0.8235294117647058,0.35431942765937835,0.4666666666666667,DesTree,3,8
29,0.5466698424704501,0.7643037039179645,0.47753010376310306,0.8412791493868172,0.4897998739992701,0.8,0.35944172486845205,0.4482758620689655,DesTree,3,9
30,0.5724808948777242,0.5465241535793153,0.6770265873656662,0.22648577247005552,0.4843458474748507,0.9230769230769231,0.37462474960838643,0.4444444444444444,DesTree,3,10
1,0.6270222970047136,0.7078602995284199,0.8026967829079066,0.625590025399092,0.4688907807024412,0.8235294117647058,0.3422954334599474,0.4166666666666667,RandFor,1,1
2,0.5029398544861995,0.6976062296128485,0.4622517453439633,0.6734664833780726,0.4732239800648145,0.7666666666666667,0.3491228426168173,0.4411764705882353,RandFor,1,2
3,0.42596023773833064,0.8521209671373957,0.37971780791395043,0.8874185582734626,0.43535333561544376,0.6,0.32374281405620225,0.4,RandFor,1,3
4,0.6011413008466546,0.7643069110977868,0.74126933973427,0.7252373524478604,0.47553495083290187,0.8,0.3576307216885807,0.43333333333333335,RandFor,1,4
5,0.5003394842669269,0.7422640499030946,0.6297492456387155,0.47508786127452307,0.4668897044384593,0.8461538461538461,0.32394086079343454,0.40625,RandFor,1,5
6,0.69163184967702,0.59182726682629,0.6843800251016124,0.5027510995235247,0.4644997340973847,0.7931034482758621,0.3428336979636409,0.4230769230769231,RandFor,1,6
7,0.519471373249223,0.8272063936232721,0.5627226040305334,0.7950303909862512,0.5137270422177861,0.9230769230769231,0.3593209304384811,0.47619047619047616,RandFor,1,7
8,0.5389922958052782,0.8125673953743957,0.37208140982975557,0.6400615246158723,0.4736167418473614,0.8235294117647058,0.32880831841100194,0.40625,RandFor,1,8
9,0.5150068031206277,0.7381946318460311,0.5179062600265418,0.7111717834138237,0.5143126615198711,0.8,0.3904230503869156,0.4583333333333333,RandFor,1,9
10,0.47664463934103457,0.7284801189925914,0.6137088788993809,0.5214813145719677,0.48841943330539506,0.9230769230769231,0.3497816134438476,0.43902439024390244,RandFor,1,10
11,0.646145780619014,0.6968771318271203,0.8313151774673656,0.612447799789902,0.4881866721142499,0.9230769230769231,0.3510391424416497,0.4444444444444444,RandFor,2,1
12,0.5606700565604316,0.5092009056969855,0.640439716323935,0.23249372159001058,0.4470364830775006,0.8235294117647058,0.32698727974465736,0.41304347826086957,RandFor,2,2
13,0.48050563774877497,0.7963432330002413,0.49383597135862944,0.7675165041505488,0.49308022338372887,0.8235294117647058,0.3633290853908135,0.45161290322580644,RandFor,2,3
14,0.6027889478154246,0.6901885879008973,0.756943657293657,0.5242860307107374,0.49404330712574596,0.8125,0.34332106787885724,0.42857142857142855,RandFor,2,4
15,0.48440026344035697,0.7802733808147139,0.41042278645186653,0.8606913224552158,0.46141816607480984,0.7931034482758621,0.34010717848784777,0.42857142857142855,RandFor,2,5
16,0.4329403072097275,0.8257028707765215,0.3518243405498039,0.8857441179779368,0.5029770250511094,0.8461538461538461,0.3826855548727067,0.4642857142857143,RandFor,2,6
17,0.6580062421773372,0.7350930323670459,0.6402474604574476,0.6657954708768588,0.4475522740533089,0.8,0.31971806304659034,0.3793103448275862,RandFor,2,7
18,0.5061685606190515,0.7677284749200831,0.5853087631625995,0.5573332227678411,0.4768883904638134,0.76,0.3465122924159819,0.4,RandFor,2,8
19,0.6155325411731546,0.7154208939323029,0.75511028846913,0.6926863728197857,0.45974365893367297,0.8461538461538461,0.34084885366611617,0.41935483870967744,RandFor,2,9
20,0.44209280096270037,0.8690550047690564,0.46614680274669273,0.824652795884681,0.5052633850266939,0.9230769230769231,0.3494675785620373,0.45454545454545453,RandFor,2,10
21,0.46576764633520457,0.822406081032943,0.540028812172285,0.7110499770492452,0.48686275334193163,0.8461538461538461,0.35847646595920873,0.42857142857142855,RandFor,3,1
22,0.6505047448480042,0.6612207022883003,0.49485497658796707,0.7094864224690216,0.4680971298196471,0.8125,0.3132088981536655,0.4117647058823529,RandFor,3,2
23,0.5479964922958905,0.7374564749092549,0.719904878558176,-0.38528185846788143,0.45819927110467523,0.9230769230769231,0.3265294807829814,0.4,RandFor,3,3
24,0.6852159376534428,0.6760104843628278,0.7915443873908921,0.6518030171263375,0.459406996055886,0.8461538461538461,0.3173114752922106,0.4117647058823529,RandFor,3,4
25,0.41005298013092834,0.8639711662979171,0.45787976111596795,0.8299463482011342,0.4488919248822088,0.7586206896551724,0.3267607475574765,0.41379310344827586,RandFor,3,5
26,0.5024230295568389,0.8071734764949086,0.618300967658656,0.7566296737813499,0.4893871114689819,0.8235294117647058,0.36629811740034457,0.43333333333333335,RandFor,3,6
27,0.5012858245711174,0.7719410308752922,0.4627174642435068,0.6739094750050016,0.4648058696423376,0.7931034482758621,0.34249324953609267,0.42857142857142855,RandFor,3,7
28,0.5861393964908198,0.7285259659304131,0.725889606686715,0.6554640431348282,0.49692359450913165,0.8235294117647058,0.35431942765937835,0.4666666666666667,RandFor,3,8
29,0.4966143966794998,0.8054903573355836,0.37556020187800593,0.9018271045358146,0.4897998739992701,0.8,0.35944172486845205,0.4482758620689655,RandFor,3,9
30,0.43922704174620714,0.7330620596262842,0.5547539744844386,0.48065290968560315,0.4843458474748507,0.9230769230769231,0.37462474960838643,0.4444444444444444,RandFor,3,10
1,0.5746572353151157,0.7546181883386582,0.8282121164353291,0.6014089663488367,0.4688907807024412,0.8235294117647058,0.3422954334599474,0.4166666666666667,XGB,1,1
2,0.49676024810233094,0.7049915830889193,0.4513043610839409,0.6887497515455354,0.4732239800648145,0.7666666666666667,0.3491228426168173,0.4411764705882353,XGB,1,2
3,0.34954222682254177,0.9004209961576001,0.2891519522526077,0.9347174464641201,0.43535333561544376,0.6,0.32374281405620225,0.4,XGB,1,3
4,0.5246059526890178,0.8205017813473753,0.6446215140453614,0.7922145134050321,0.47553495083290187,0.8,0.3576307216885807,0.43333333333333335,XGB,1,4
5,0.4496775881530777,0.7918157200240847,0.5408732364835506,0.6127938125862974,0.4668897044384593,0.8461538461538461,0.32394086079343454,0.40625,XGB,1,5
6,0.661070275955207,0.6271026635828516,0.7096429562360329,0.4653630462880618,0.4644997340973847,0.7931034482758621,0.3428336979636409,0.4230769230769231,XGB,1,6
7,0.437765524636367,0.8772878563986369,0.3775297936068264,0.9077421748384273,0.5137270422177861,0.9230769230769231,0.3593209304384811,0.47619047619047616,XGB,1,7
8,0.5100442047416364,0.8321599269252852,0.41143057056287813,0.5599060031258405,0.4736167418473614,0.8235294117647058,0.32880831841100194,0.40625,XGB,1,8
9,0.5012350826735662,0.752009218806337,0.44423844314188327,0.7874947936556508,0.5143126615198711,0.8,0.3904230503869156,0.4583333333333333,XGB,1,9
10,0.37886847812855984,0.8284506189270715,0.4998266538111516,0.6825956231205881,0.48841943330539506,0.9230769230769231,0.3497816134438476,0.43902439024390244,XGB,1,10
11,0.6020348687877252,0.7368514584749158,0.8014840444519219,0.6397628070971602,0.4881866721142499,0.9230769230769231,0.3510391424416497,0.4444444444444444,XGB,2,1
12,0.5012889796587686,0.6076575119171179,0.5427903428194868,0.44869789813421157,0.4470364830775006,0.8235294117647058,0.32698727974465736,0.41304347826086957,XGB,2,2
13,0.4925285423604546,0.786024191296764,0.4067566729965885,0.842276626239308,0.49308022338372887,0.8235294117647058,0.3633290853908135,0.45161290322580644,XGB,2,3
14,0.5249864670410849,0.765002595123364,0.6474221702946273,0.6519882312788836,0.49404330712574596,0.8125,0.34332106787885724,0.42857142857142855,XGB,2,4
15,0.43434947337354307,0.8233341811279922,0.39499179886318914,0.8709697919745063,0.46141816607480984,0.7931034482758621,0.34010717848784777,0.42857142857142855,XGB,2,5
16,0.35585570670368755,0.8822442665736191,0.29551418577439714,0.9193910118659385,0.5029770250511094,0.8461538461538461,0.3826855548727067,0.4642857142857143,XGB,2,6
17,0.565092488961455,0.8046234556757668,0.5859607931346735,0.7200672449243979,0.4475522740533089,0.8,0.31971806304659034,0.3793103448275862,XGB,2,7
18,0.47547161333148563,0.7950467422460087,0.6432400432246813,0.4653703741817947,0.4768883904638134,0.76,0.3465122924159819,0.4,XGB,2,8
19,0.5304546392691941,0.7886523225157375,0.659524577263555,0.7655646968832316,0.45974365893367297,0.8461538461538461,0.34084885366611617,0.41935483870967744,XGB,2,9
20,0.3870097322676575,0.8996526769515,0.39255780247715,0.875645743979654,0.5052633850266939,0.9230769230769231,0.3494675785620373,0.45454545454545453,XGB,2,10
21,0.4428155793771338,0.8394777496565234,0.4947232776940513,0.7574989848024192,0.48686275334193163,0.8461538461538461,0.35847646595920873,0.42857142857142855,XGB,3,1
22,0.600349697892307,0.7114477142827813,0.40890396591611605,0.8016404128690677,0.4680971298196471,0.8125,0.3132088981536655,0.4117647058823529,XGB,3,2
23,0.5568762902078908,0.728878967293751,0.7812890198874469,-0.6315912033718705,0.45819927110467523,0.9230769230769231,0.3265294807829814,0.4,XGB,3,3
24,0.690836812978865,0.6706732646643995,0.802351015971531,0.6422305364256307,0.459406996055886,0.8461538461538461,0.3173114752922106,0.4117647058823529,XGB,3,4
25,0.31410830632642706,0.9201803403613614,0.3390578111265485,0.9067539217176146,0.4488919248822088,0.7586206896551724,0.3267607475574765,0.41379310344827586,XGB,3,5
26,0.4259219938687856,0.8614240612741073,0.567669497489634,0.7948559667209262,0.4893871114689819,0.8235294117647058,0.36629811740034457,0.43333333333333335,XGB,3,6
27,0.43270325830216877,0.8300752497112357,0.3846607606603951,0.7746476093997405,0.4648058696423376,0.7931034482758621,0.34249324953609267,0.42857142857142855,XGB,3,7
28,0.5060175212584364,0.7976712582728891,0.6112188901990815,0.7557205505504652,0.49692359450913165,0.8235294117647058,0.35431942765937835,0.4666666666666667,XGB,3,8
29,0.4223394971464581,0.8593220852800474,0.35660047219512786,0.9114891930511205,0.4897998739992701,0.8,0.35944172486845205,0.4482758620689655,XGB,3,9
30,0.38317080652295793,0.7968499232152487,0.5015214183414101,0.5755409202717807,0.4843458474748507,0.9230769230769231,0.37462474960838643,0.4444444444444444,XGB,3,10
1,0.6478047534908958,0.688173606914101,0.9703061997628123,0.45290596705319874,0.4688907807024412,0.8235294117647058,0.3422954334599474,0.4166666666666667,SVR,1,1
2,0.45290013213646,0.754785791384059,0.4516500670392925,0.6882727241299043,0.4732239800648145,0.7666666666666667,0.3491228426168173,0.4411764705882353,SVR,1,2
3,0.4911201737824559,0.8034178737223391,0.6295771549066354,0.6905127249591424,0.43535333561544376,0.6,0.32374281405620225,0.4,SVR,1,3
4,0.7094325934484524,0.6717414934322068,0.9304825861937341,0.5670655777724871,0.47553495083290187,0.8,0.3576307216885807,0.43333333333333335,SVR,1,4
5,0.5135556862445811,0.7284683045811258,0.5787871001332496,0.5566068387823744,0.4668897044384593,0.8461538461538461,0.32394086079343454,0.40625,SVR,1,5
6,0.6201927624509637,0.6717933257414928,0.6463166792689563,0.5565242179447665,0.4644997340973847,0.7931034482758621,0.3428336979636409,0.4230769230769231,SVR,1,6
7,0.500746572960013,0.8394388755470349,0.4404003355832609,0.8744559791844573,0.5137270422177861,0.9230769230769231,0.3593209304384811,0.47619047619047616,SVR,1,7
8,0.5004325022269331,0.838426161561683,0.3541274084344054,0.673959604703515,0.4736167418473614,0.8235294117647058,0.32880831841100194,0.40625,SVR,1,8
9,0.5208268753192407,0.7322438913089446,0.4016069066844855,0.8263240657199417,0.5143126615198711,0.8,0.3904230503869156,0.4583333333333333,SVR,1,9
10,0.37731401607050546,0.829855433338353,0.46046379238732094,0.7306201790072215,0.48841943330539506,0.9230769230769231,0.3497816134438476,0.43902439024390244,SVR,1,10
11,0.5875384493740851,0.7493716114817028,0.7887311674246884,0.6511354882454683,0.4881866721142499,0.9230769230769231,0.3510391424416497,0.4444444444444444,SVR,2,1
12,0.4514249576440788,0.6818293175744781,0.5417092380716422,0.4508918272259892,0.4470364830775006,0.8235294117647058,0.32698727974465736,0.41304347826086957,SVR,2,2
13,0.5329350793144687,0.7494753377106947,0.38478233041243454,0.8588577857061497,0.49308022338372887,0.8235294117647058,0.3633290853908135,0.45161290322580644,SVR,2,3
14,0.6233302584587962,0.6687138587382903,0.8308566276076388,0.42684646779549595,0.49404330712574596,0.8125,0.34332106787885724,0.42857142857142855,SVR,2,4
15,0.4603469584245023,0.8015530226640085,0.39086550540823883,0.8736515466441238,0.46141816607480984,0.7931034482758621,0.34010717848784777,0.42857142857142855,SVR,2,5
16,0.3586568419430867,0.8803831304878649,0.40259985893837696,0.8503853780806203,0.5029770250511094,0.8461538461538461,0.3826855548727067,0.4642857142857143,SVR,2,6
17,0.7597094160426047,0.6468750752591166,0.7030659692692056,0.5969965570808178,0.4475522740533089,0.8,0.31971806304659034,0.3793103448275862,SVR,2,7
18,0.4957886202754587,0.7771571280335199,0.644675869226366,0.4629809338008217,0.4768883904638134,0.76,0.3465122924159819,0.4,SVR,2,8
19,0.6240606898988109,0.7074806300224645,0.8147804042546121,0.6421984691451311,0.45974365893367297,0.8461538461538461,0.34084885366611617,0.41935483870967744,SVR,2,9
20,0.4655346561456579,0.8548001885507701,0.5104195871040238,0.7897635136287378,0.5052633850266939,0.9230769230769231,0.3494675785620373,0.45454545454545453,SVR,2,10
21,0.37124062778296996,0.887176270377261,0.4206078788175766,0.8247154339438721,0.48686275334193163,0.8461538461538461,0.35847646595920873,0.42857142857142855,SVR,3,1
22,0.7275527227591959,0.5762156967103547,0.4823711714809826,0.7239592240885493,0.4680971298196471,0.8125,0.3132088981536655,0.4117647058823529,SVR,3,2
23,0.521628378336934,0.7621143878190799,0.727779243492305,-0.4157521958356569,0.45819927110467523,0.9230769230769231,0.3265294807829814,0.4,SVR,3,3
24,0.734207263775432,0.6280253030557521,0.8654635844017335,0.5837329319055744,0.459406996055886,0.8461538461538461,0.3173114752922106,0.4117647058823529,SVR,3,4
25,0.5087896695183559,0.7905754461214793,0.5025316564811835,0.7951622875052238,0.4488919248822088,0.7586206896551724,0.3267607475574765,0.41379310344827586,SVR,3,5
