model,repeat,r2_all,r2_top20_dissimilar
DesTree,1,0.628414496079651,0.4925731021783538
DesTree,2,0.626509391969305,0.5733110543298529
DesTree,3,0.6572837458044986,0.45912093486070493
LinReg,1,0.7748628346468249,0.6695207494207015
LinReg,2,0.7742035605240316,0.665301234371585
LinReg,3,0.7887981642296014,0.6294501320931902
RandFor,1,0.7462434263942126,0.6557296393884451
RandFor,2,0.7385883516004969,0.6623647359023519
RandFor,3,0.7607257799153725,0.5985487112520455
SVR,1,0.755834475753134,0.6617247879257009
SVR,2,0.751763930052291,0.6603707967353356
SVR,3,0.7658549637640222,0.6123312428125189
XGB,1,0.7889358553596819,0.703298613137839
XGB,2,0.7889089401902786,0.7199734426559086
XGB,3,0.8016000614012345,0.6288786892436895
