,smarts,count,group
0,"[!#1]=[!#1!$([#16](=O)=O),!#1+1]=[!#1,!#1-1]",1,simplified
1,"[#6v3+0,#6v2+0,#6v5+0,#8v3]",1,simplified
2,[n!$([nX2r5]:[oX2r5])]:[o],1,simplified
3,"[#8,#7]~1~[#8,#7]~[!#1]~[!#1]~[!#1]~[#8,#7]~1",1,simplified
4,"[#7]~[F,Cl,Br,I]",1,simplified
5,[!#1]@#[!#1],1,simplified
6,[!#1]~2~1~[!#1]~[!#1](~[!#1]~[!#1]~[!#1]~[!#1]~1)~[!#1]~[!#1]~[!#1]~2,1,simplified
7,[#8]~[#8],1,simplified
8,"[!#1]-,:1-,:[!#1]=,:[!#1]-,:[!#1]=,:[!#1]-,:[!#1]:2:[!#1]-,:1:[!#1]:[!#1]:[!#1]:[!#1]:2",1,simplified
9,"[!#1!#6]:[#6]-[F,Cl,Br,I]",1,simplified
10,[#16](=[!#6!#1])-[#8],1,simplified
11,[#8]~1~[!#1]~[!#1]~[!#1]~[!#1]=[#7]~1,1,simplified
12,"[#6]-,:1-,:[#6]-,:[#6]-,:[#8]-,:[#7]-,:[#6]-1",1,simplified
13,[#6+]~[!#1],1,simplified
14,[!#1]~1~[!#1!#6]~[!#1!#6]~[!#1]~[!#1!#6]~[!#1!#6]~1,1,simplified
15,"[#7]=,=@,:S",1,simplified
16,[#8]=[!#1]-[#8]-[!#1]=[#8],1,simplified
17,[!#1](@[!#1]~[#8])(@~[!#16](~[#8])~[#8])~[!#6!#1],1,simplified
18,[#16]~[#16],1,simplified
19,[!#1]1[!#1]2[!#1][!#1]1[!#1][!#1][!#1][!#1]2,1,simplified
20,[#7]@[#7](@[#8])@[!#1],1,simplified
21,[#8]@1@[!#1]-[!#1]-[!#1]-[!#1]=[#7]@1,1,simplified
22,[#8]-[!#1](-[#8])=[!#6!#1],1,simplified
23,"[#8,#16X2]1[!#1]=,:[!#1][#8,#16X2][!#1]=,:[!#1]1",1,simplified
24,[#7]~[#7]~[#6](~[#8])=O,1,simplified
