,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
Nd+ Cs3 Cs3 Car,3,2,0,11,32,55,53,30,19,20,7,7,13,14,31,62,80,166
Nd+ Cs3 Cs2 .=O,644,384,343,214,175,120,54,28,30,31,17,30,59,101,172,259,384,611
Cs3 Cs3 Car Car,310,254,284,361,473,775,1093,1363,1310,1357,1408,1160,773,513,352,277,289,337
Cs3 Cs3 Cs2 .=O,411,340,421,457,674,902,998,1127,1053,903,794,625,610,408,274,265,217,216
Cs3 Car Car Car,2250,45,1,0,0,0,0,0,1,0,0,0,0,2,9,13,258,31089
Car Cs3 Cs3 Cs2,2,5,24,31,58,160,161,71,33,22,11,16,16,18,22,55,167,269
Car Car Car Car,426061,2965,1995,2799,2809,2633,1515,965,823,841,1005,1485,2557,2729,2577,1859,2347,78991
Car Car Car Nd0,7546,233,94,47,50,23,15,7,1,2,7,18,30,46,52,80,406,23908
Car Car Nd0 Cs2,830,531,430,391,258,214,170,122,115,109,116,164,190,235,323,410,514,782
Car Nd0 Cs2 Cs3,27,3,0,0,2,0,2,0,1,0,4,1,3,1,8,22,100,694
Car Nd0 Cs2 .=O,2862,415,72,35,12,8,3,6,2,1,1,3,4,2,7,7,10,101
Nd0 Cs2 Cs3 Cs3,28,15,27,34,32,42,76,132,196,305,361,375,278,256,185,143,101,101
Nd0 Cs2 Cs3 Hal,2,0,2,0,0,0,0,0,2,2,3,7,0,6,3,3,0,0
Hal Cs3 Cs2 .=O,0,0,3,2,7,1,6,2,2,2,0,0,0,0,0,1,1,2
Car Car Nac Car,38066,249,143,218,301,228,279,286,298,289,278,261,190,260,213,111,230,13501
Car Car Nac C3r,1364,566,418,332,285,241,215,191,152,168,168,193,213,261,339,467,625,4171
Car Car Car Nac,33763,829,532,356,413,346,222,125,134,139,122,234,340,397,494,559,906,29871
Car Nac C3r C3r,141,185,255,480,708,505,476,545,537,454,585,592,627,932,998,852,1013,773
Nac Car Car Nac,10407,177,77,93,27,15,7,7,3,5,1,15,5,23,27,35,163,11385
Nac C3r C3r C3r,424,401,701,683,675,1266,329,171,294,313,346,242,239,215,405,890,480,794
C3r C3r C3r C3r,10595,3331,5117,5351,6445,21767,8203,1603,1027,935,701,549,323,463,697,667,1235,2741
C3r C3r Nac C3r,928,765,755,801,1169,2069,1069,254,84,64,21,33,25,24,34,24,61,35
C3r Nac Car Nac,2518,328,198,102,54,36,17,11,9,14,20,42,58,75,88,162,292,2549
Nac Car Nac Car,19689,135,41,14,15,6,1,0,0,3,11,42,32,28,35,31,119,8515
Nac Car Car Cs3,490,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2186
C2r C2r C3r O_d,2,2,2,0,0,2,25,18,0,13,8,7,12,20,32,39,13,12
C2r C2r C3r C3r,191,262,299,197,119,111,64,65,45,67,89,82,82,129,124,59,54,47
C2r C3r C3r C3r,98,129,194,212,446,604,323,238,123,77,70,60,36,36,64,124,179,369
C2r C3r C3r O_a,13,8,20,28,35,49,32,13,9,10,9,9,1,8,5,10,15,35
C2r C3r Car Car,229,35,22,30,35,38,53,46,44,45,44,51,39,30,30,22,45,228
C2r C2r C3r Car,37,12,2,0,3,2,9,13,21,20,26,22,31,16,8,13,1,11
C3r C2r C2r C3r,681,111,63,39,29,13,5,7,0,0,1,3,3,3,9,15,63,323
C3r C3r C3r O_a,1380,1149,1292,1895,1100,1922,1077,471,432,213,309,186,172,228,146,186,348,1005
C3r C3r C3r Car,111,106,240,344,390,293,142,107,139,122,448,295,116,76,105,126,251,827
C3r C3r O_a Car,31,31,34,65,124,111,51,68,78,73,46,37,31,37,54,55,114,109
C3r C3r C3r O_d,2,3,11,41,91,352,555,639,841,612,256,293,253,428,838,722,662,2824
C3r C3r Car Car,685,982,763,530,373,419,465,409,398,395,413,466,453,365,476,674,961,627
C3r O_a Car Car,544,393,195,87,67,38,40,27,27,32,33,39,38,67,85,200,409,563
C3r C3r C3r Nd+,439,439,567,459,543,1506,584,145,70,95,123,83,77,64,69,111,274,1256
C3r Car Car O_a,323,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
C3r Car Car Car,836,27,2,0,5,0,0,0,0,0,0,0,0,1,4,21,129,9422
C3r Car Car C3r,1523,377,173,99,37,33,17,29,9,9,13,1,3,7,0,1,3,3
O_a C3r C3r Car,31,17,20,13,16,17,10,11,17,9,13,13,19,2,0,5,6,26
O_a Car Car Car,2374,97,56,32,20,6,5,0,2,0,1,2,12,22,47,90,225,18852
O_a Car Car O_a,2703,31,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,7
Car Car O_a Cs3,2139,1082,638,472,311,233,236,374,525,565,367,240,251,310,426,705,1155,2298
Car Car C3r Nd+,98,107,65,55,67,72,45,25,14,11,31,36,69,56,54,63,81,94
C3r Nd+ C3r C3r,458,466,515,621,1039,2689,1793,361,105,98,51,54,42,70,77,116,229,358
C3r Nd+ C3r Car,9,12,22,50,69,35,21,19,11,5,5,9,7,3,6,22,30,47
C3r C3r Nd+ Cs3,12,15,18,31,55,133,293,250,199,124,101,123,135,172,236,392,908,2727
Car C3r Nd+ Cs3,0,0,0,2,9,23,32,9,8,0,2,2,4,4,10,22,30,35
Nd+ Cs3 Cs3 Cs3,28,32,46,80,137,487,329,201,180,100,57,62,64,83,123,151,255,414
Cs3 Cs3 Cs3 Sul,3,4,1,4,10,33,84,36,18,13,8,13,17,25,28,82,289,600
Cs3 Cs3 Sul Cs3,8,6,6,3,18,30,32,66,116,206,151,105,122,123,62,52,84,154
Cs3 Cs3 Cs3 Cs2,30,17,31,47,155,456,727,493,285,188,117,103,121,149,196,300,544,1069
Cs3 Sul Cs3 C3r,3,3,3,18,30,56,133,315,275,120,74,43,20,18,69,20,14,16
Sul Cs3 C3r O_a,1,0,1,2,32,59,133,98,30,3,2,3,9,9,14,68,209,539
Sul Cs3 C3r C3r,6,3,3,15,47,236,393,194,60,11,6,5,2,3,12,60,123,132
Cs3 C3r O_a C3r,0,6,16,24,35,62,52,60,82,94,179,376,486,489,288,238,292,712
Cs3 C3r C3r O_d,11,9,18,37,104,387,417,160,355,179,155,277,481,273,171,111,36,54
Cs3 C3r C3r C3r,21,18,11,25,74,265,579,451,346,394,863,726,426,365,484,732,823,2640
C3r O_a C3r C3r,1342,1425,1377,1372,940,1700,1834,258,135,111,123,121,129,123,128,178,157,256
C3r O_a C3r Nac,8,3,2,4,2,0,3,45,132,59,173,250,148,129,213,578,467,115
O_a C3r C3r O_d,4,3,4,23,82,390,475,159,345,407,318,563,379,238,414,944,620,992
O_a C3r Nac Car,157,248,154,170,120,203,414,509,327,376,523,351,190,111,179,162,246,147
O_d C3r C3r O_d,393,535,1297,1299,675,697,1157,179,43,27,13,13,11,9,5,5,9,15
O_d C3r C3r Nac,1,2,6,5,21,72,132,390,702,225,82,86,88,68,225,205,71,40
Nac Car Car Nd0,3311,56,5,2,1,0,0,0,0,0,0,0,0,1,5,1,19,1756
Nd0 Car Nac Car,2041,12,0,0,0,0,0,0,0,0,0,1,0,0,1,9,70,10624
Cs2 Nd0 C3r C3r,8,4,10,19,20,70,142,176,156,191,178,244,245,206,253,180,148,122
Nd+ Cs3 Cs2 Nd0,15,14,7,4,7,3,2,3,7,7,11,21,29,38,35,44,20,26
.=O Cs2 Nd0 C3r,1150,139,17,9,12,3,2,3,5,0,1,0,0,0,0,4,1,32
Nac C3r C3r Nd0,16,6,5,10,36,36,15,12,14,17,20,14,24,14,5,7,8,14
Cs3 Cs2 Nd0 C3r,15,0,0,0,0,0,0,0,0,4,2,0,1,5,2,9,50,561
Cs3 Cs3 Cs3 Cs3,55,71,91,195,335,925,1481,1319,631,583,495,491,577,649,855,1447,2417,4315
Nd0 C3r C3r O_a,6,7,3,6,18,42,73,22,10,6,12,17,7,16,17,46,72,228
Nd0 C3r C3r O_d,7,5,39,60,70,187,97,35,19,7,1,2,3,3,1,2,0,5
Nd0 C3r C3r C3r,15,25,25,28,78,138,174,106,95,89,359,178,90,95,124,224,323,1281
C3r C3r Cs3 O_d,10,16,24,42,169,396,269,120,52,18,31,17,23,26,43,52,136,369
O_a C3r Cs3 O_d,15,17,21,33,100,274,395,205,51,32,13,13,11,13,8,16,16,42
Cs3 Cs3 O_a Cs2,8,7,12,14,43,93,111,60,44,35,22,38,38,31,33,46,76,162
Cs3 O_a Cs2 Nd0,1,0,1,0,0,2,2,3,7,8,7,18,8,18,39,36,63,179
Cs3 O_a Cs2 .=O,571,186,109,87,49,27,41,27,19,22,8,13,5,4,2,10,0,16
Cs2 Nd0 Cs3 Cs3,12,14,28,21,69,159,191,221,372,432,650,699,683,430,283,266,246,398
Cs3 Nd0 Cs2 O_a,16,4,1,1,0,3,1,0,2,2,2,8,3,7,10,26,59,406
Cs3 Nd0 Cs2 .=O,4570,544,138,43,33,31,24,13,11,16,8,7,8,7,6,7,13,113
Cs3 Cs3 Cs3 Car,10,9,16,20,66,114,165,148,60,55,46,43,26,42,67,112,303,840
Cs3 Sul Cs3 Cs2,2,0,1,2,1,1,4,1,0,5,0,4,1,0,0,0,0,2
Cs3 Cs2 Nd0 Cs3,51,3,2,2,2,1,2,1,1,3,6,5,4,9,9,30,129,1646
Car Cs3 Cs3 Sul,1,0,0,0,1,4,1,4,3,1,2,1,2,1,2,5,3,6
Car Cs3 Cs3 Nd0,11,7,21,58,146,462,246,104,32,15,8,12,6,12,13,28,64,173
Nd0 Cs3 Cs3 Sul,3,0,4,8,15,28,26,17,9,5,3,1,1,1,6,2,8,14
Nd0 Cs2 Cs3 Sul,2,5,1,0,2,4,8,11,9,8,5,4,5,3,3,5,4,4
.=O Cs2 Cs3 Sul,31,24,10,14,9,9,7,7,13,16,12,14,8,7,1,0,9,10
Nac Nac Car Car,4978,74,52,89,143,116,78,59,54,59,60,77,109,150,88,54,62,1973
Car Nac Car Cs3,205,10,0,0,1,1,0,0,0,0,0,0,0,0,1,5,23,3767
