,smarts,count,group
0,"[!#1]=[!#1!$([#16](=O)=O),!#1+1]=[!#1,!#1-1]",1.0,simplified
1,"[#6v3+0,#6v2+0,#6v5+0,#8v3]",1.0,simplified
2,"[#1,#9,#17,#35,#53][!#1]!@=[!#1!#6!$([#8]=!@[#6][#1])]",1.0,simplified
3,"[H][#6](@-[#8,#7])@-[#8,#7]@-[#6](@-[#8,#7])-[!#8]",1.0,simplified
4,"[#16]~[#1,#9,#17,#35,#53]",1.0,simplified
5,[n!$([nX2r5]:[oX2r5])]:[o],1.0,simplified
6,"[#8,#7]~1~[#8,#7]~[!#1]~[!#1]~[!#1]~[#8,#7]~1",1.0,simplified
7,"[#7]~[F,Cl,Br,I]",1.0,simplified
8,[!#1]@#[!#1],1.0,simplified
9,[!#1]~2~1~[!#1]~[!#1](~[!#1]~[!#1]~[!#1]~[!#1]~1)~[!#1]~[!#1]~[!#1]~2,1.0,simplified
10,[#8]~[#8],1.0,simplified
11,[!#1]=[!#1]-[#6](-[!#1]=[!#1])!@=[#6],1.0,simplified
12,"[!#1]-,:1-,:[!#1]=,:[!#1]-,:[!#1]=,:[!#1]-,:[!#1]:2:[!#1]-,:1:[!#1]:[!#1]:[!#1]:[!#1]:2",1.0,simplified
13,[H][!#1]@[#7]@=[#6](!@[#7])@-C([H])([H])@-[!#1][H],1.0,simplified
14,[#7]!@-[#7]!@-[!#1]=O,1.0,simplified
15,[#8]!@[#7X2]!@[!#1],1.0,simplified
16,"[#16]~[!#1](!@=[#16,#7,#8])~[!#6!#1]",1.0,simplified
17,"[!#1!#6]:[#6]-[F,Cl,Br,I]",1.0,simplified
18,[#16](=[!#6!#1])-[#8],1.0,simplified
19,"[#8]=!@[#7!$([#7](-!@[#6])(=!@O)-!@[OH,O-1])]",1.0,simplified
20,[#8]~1~[!#1]~[!#1]~[!#1]~[!#1]=[#7]~1,1.0,simplified
21,"[#8]!@-[!#1]~1~[#6,#8,#16]~[#6,#8,#16]~[#6,#8,#16]~[#8,#16]~1",1.0,simplified
22,"[#6]-,:1-,:[#6]-,:[#6]-,:[#8]-,:[#7]-,:[#6]-1",1.0,simplified
23,"[H][#6]!@[#7]-1-[#6]([H])C([H])([H])[#8,#7]-[#6]([H])-[#7]-1[H]",1.0,simplified
24,[#6+]~[!#1],1.0,simplified
25,"[H][#6]([H])-[#7]-1-[#6]-[#6]-[#7,#8]-[#6]([H])-[#7]-1[H]",1.0,simplified
26,[H][#7]@-[#7]@-[#8],1.0,simplified
27,[!#1]~1~[!#1!#6]~[!#1!#6]~[!#1]~[!#1!#6]~[!#1!#6]~1,1.0,simplified
28,"[#7]=,=@,:S",1.0,simplified
29,[!#1]~[#16X2]@-[!#1]([H])@-[#8],1.0,simplified
30,[!#1]~[!#1]([H])~[#7]([H])@[#7]@=[#6](~[!#1])!@-[#7][H],1.0,simplified
31,[!#1]@[#16X2]@[#6]([H])@[#7](@[!#1][H])!@-[!#1]([H])[H],1.0,simplified
32,"[H][#8]-[#6]-[F,Cl,Br,I]",1.0,simplified
33,[#8]=[!#1]-[#8]-[!#1]=[#8],1.0,simplified
34,[!#1](@[!#1]~[#8])(@~[!#16](~[#8])~[#8])~[!#6!#1],1.0,simplified
35,[H][!#1]~1=[#7]-[#8]~[!#1]~[!#1]~[!#1]~1,1.0,simplified
36,"[#7]@[#6](~[!#8])@[#16X2]@[!#1]([H])@-[#8,#7,#16]",1.0,simplified
37,[#16]~[#16],1.0,simplified
38,[!#1]!@-[!#1!#6]!@-[#8]!@-[!#1](!@-[!#1])!@=[!#1!#6],1.0,simplified
39,[!#1]1[!#1]2[!#1][!#1]1[!#1][!#1][!#1][!#1]2,1.0,simplified
40,[!#1]~C(~[!#1])(!@-C([H])([H])[H])~C(~[!#1])(!@-C([H])([H])[H])!@-C([H])([H])[H],1.0,simplified
41,[#7]@[#7](@[#8])@[!#1],1.0,simplified
42,[#8]@1@[!#1]-[!#1]-[!#1]-[!#1]=[#7]@1,1.0,simplified
43,[H][#6]@-[#7]([H])@-[#7]([H])@-[#6]@=[#7],1.0,simplified
44,[H][#7]1C(C(C([#7]1[!#1])([H])[H])([H])[H])([H])[H],1.0,simplified
45,[#8]-[!#1](-[#8])=[!#6!#1],1.0,simplified
46,[#16]!@-[#6]1=[#7]-[!#1]-[!#1][!#1!#6]1,1.0,simplified
47,"[#8,#16X2]1[!#1]=,:[!#1][#8,#16X2][!#1]=,:[!#1]1",1.0,simplified
48,[H][#7]~1~[#7]~[!#1]~[!#1](-[!#8])~[#7]~1[H],1.0,simplified
49,"[#8H1,#8-1][!#1]=[#8]",2.0,simplified
50,[#7]~[#7]~[#6](~[#8])=O,1.0,simplified
51,"[H][#6]1-,:[#7,#8]-,:[#6]-,:[#6][#7]([#7]1[H])[H]",1.0,simplified
52,[#8]!@-[#6]-1=[#7]-[!#1]-[!#1]-[!#1]-1,1.0,simplified
53,"[#7]:1:[!#1]:[!#1]:[#7](:[!#1]:1)-!@[#6,#7](=!@[!#6!#1])-!@[!#6!#1]",1.0,simplified
54,[!#1]@[!#1]~1(~[!#1](~[!#1]~1(@[!#1])@[!#1])(@[!#1])@[!#1])@[!#1],1.0,simplified
55,[#8]!@-[#6]!@=[#7],1.0,simplified
56,"[F,Cl,Br,I]-[#6]-[#8]-[!#1]=O",1.0,simplified
57,[H][!#1]-1-[!#1]=[#7]-[#7]=[!#1]-[!#1]-1[H],1.0,simplified
58,"[#7]!@-*(=O)!@-C(!@-*)([F,Cl,Br,I])[F,Cl,Br,I]",1.0,simplified
59,[#7-],1.0,simplified
60,[#6]-[#7+](-[#8-])=[#6],1.0,simplified
61,[H][!#1]-1@-[#8]@-[#7]@=[!#1]-[!#1]-1,1.0,simplified
62,[#8]!@-[#6]-1=[#7]-[!#1]-[!#1]-[!#1]-[!#1]-1,1.0,simplified
63,[!#1]@[#6]:1:[#6](:[#6](:[#8]:[#6]:1[#1])[#1])@[!#1],1.0,simplified
64,"[F,Cl,Br,I]!@-[#6]!@=[#7]",1.0,simplified
65,[#16X2]~1~[!#1!#6]~[!#1]~[!#1]~[!#1]~[!#1!#6]~1,1.0,simplified
